transaction_id,item,quantity,txn_date
T1,Milk,3,2025-02-22
T1,Bread,3,2025-02-22
T1,Eggs,3,2025-02-22
T1,Juice,1,2025-02-22
T1,Butter,3,2025-02-22
T1,Cheese,2,2025-02-22
T2,Bread,1,2025-02-17
T3,Chips,1,2025-10-15
T3,Bread,3,2025-10-15
T4,Chips,1,2025-01-04
T4,Butter,3,2025-01-04
T4,Beer,2,2025-01-04
T4,Cola,2,2025-01-04
T4,Eggs,2,2025-01-04
T4,Diaper,1,2025-01-04
T5,Cheese,2,2025-02-17
T5,Milk,1,2025-02-17
T6,Cheese,3,2025-08-24
T6,Eggs,1,2025-08-24
T6,Bread,2,2025-08-24
T7,Chips,3,2025-05-31
T8,Cheese,2,2025-04-27
T8,Beer,1,2025-04-27
T8,Milk,1,2025-04-27
T8,Bread,1,2025-04-27
T8,Juice,2,2025-04-27
T9,Cola,2,2025-07-09
T9,Cheese,1,2025-07-09
T9,Diaper,3,2025-07-09
T10,Milk,2,2025-03-25
T10,Diaper,2,2025-03-25
T10,Beer,2,2025-03-25
T11,Chips,2,2025-01-17
T11,Beer,2,2025-01-17
T11,Cheese,2,2025-01-17
T11,Butter,1,2025-01-17
T11,Bread,1,2025-01-17
T11,Milk,3,2025-01-17
T12,Cheese,2,2025-03-15
T12,Beer,1,2025-03-15
T12,Cola,1,2025-03-15
T12,Chips,3,2025-03-15
T12,Juice,3,2025-03-15
T12,Butter,3,2025-03-15
T13,Juice,1,2025-07-05
T13,Butter,1,2025-07-05
T13,Chips,3,2025-07-05
T14,Milk,1,2025-11-18
T14,Bread,3,2025-11-18
T14,Juice,2,2025-11-18
T14,Cola,3,2025-11-18
T15,Butter,3,2025-07-15
T16,Chips,3,2025-02-28
T16,Eggs,3,2025-02-28
T16,Bread,2,2025-02-28
T16,Cheese,3,2025-02-28
T17,Milk,2,2025-03-22
T17,Eggs,1,2025-03-22
T17,Butter,3,2025-03-22
T18,Eggs,3,2025-11-24
T18,Chips,3,2025-11-24
T18,Diaper,1,2025-11-24
T18,Juice,1,2025-11-24
T18,Bread,2,2025-11-24
T18,Cola,1,2025-11-24
T19,Chips,2,2025-02-27
T19,Bread,2,2025-02-27
T19,Cheese,1,2025-02-27
T19,Beer,1,2025-02-27
T19,Juice,1,2025-02-27
T20,Milk,1,2025-09-30
T20,Juice,1,2025-09-30
T20,Cola,3,2025-09-30
T20,Butter,2,2025-09-30
T20,Bread,3,2025-09-30
T21,Eggs,2,2025-11-07
T21,Chips,1,2025-11-07
T22,Beer,2,2025-07-11
T22,Eggs,3,2025-07-11
T22,Butter,2,2025-07-11
T22,Cheese,1,2025-07-11
T22,Cola,1,2025-07-11
T23,Milk,3,2025-01-11
T23,Cheese,3,2025-01-11
T24,Juice,1,2025-01-04
T24,Beer,3,2025-01-04
T25,Bread,1,2025-09-21
T25,Beer,2,2025-09-21
T25,Milk,3,2025-09-21
T25,Juice,2,2025-09-21
T25,Diaper,1,2025-09-21
T25,Butter,3,2025-09-21
T26,Juice,2,2025-05-05
T26,Cola,2,2025-05-05
T27,Milk,2,2025-12-04
T27,Juice,2,2025-12-04
T28,Butter,3,2025-12-01
T28,Cola,1,2025-12-01
T28,Bread,1,2025-12-01
T28,Cheese,2,2025-12-01
T29,Cheese,1,2025-08-18
T29,Milk,2,2025-08-18
T29,Beer,1,2025-08-18
T29,Chips,2,2025-08-18
T29,Butter,2,2025-08-18
T29,Eggs,1,2025-08-18
T30,Cola,1,2025-10-09
T31,Chips,1,2025-01-08
T32,Diaper,2,2025-09-06
T32,Butter,1,2025-09-06
T33,Bread,2,2025-07-19
T33,Diaper,2,2025-07-19
T33,Butter,2,2025-07-19
T33,Juice,2,2025-07-19
T34,Chips,3,2025-01-30
T34,Cola,3,2025-01-30
T34,Diaper,3,2025-01-30
T34,Milk,1,2025-01-30
T34,Juice,3,2025-01-30
T34,Butter,2,2025-01-30
T35,Bread,2,2025-10-27
T36,Chips,1,2025-04-06
T36,Diaper,3,2025-04-06
T36,Bread,1,2025-04-06
T36,Eggs,3,2025-04-06
T36,Cola,1,2025-04-06
T37,Milk,2,2025-02-11
T37,Beer,3,2025-02-11
T37,Bread,3,2025-02-11
T37,Eggs,3,2025-02-11
T38,Cheese,1,2025-06-10
T38,Eggs,2,2025-06-10
T38,Beer,2,2025-06-10
T38,Juice,1,2025-06-10
T38,Butter,3,2025-06-10
T39,Eggs,3,2025-08-23
T39,Cola,3,2025-08-23
T39,Cheese,1,2025-08-23
T39,Butter,1,2025-08-23
T39,Bread,3,2025-08-23
T39,Chips,1,2025-08-23
T40,Eggs,2,2025-07-09
T40,Diaper,1,2025-07-09
T40,Cheese,2,2025-07-09
T40,Bread,3,2025-07-09
T40,Milk,3,2025-07-09
T41,Juice,3,2025-12-08
T41,Chips,2,2025-12-08
T41,Bread,3,2025-12-08
T42,Diaper,1,2025-05-16
T43,Chips,2,2025-03-21
T44,Juice,3,2025-04-15
T44,Beer,3,2025-04-15
T44,Cheese,2,2025-04-15
T45,Cola,2,2025-08-05
T45,Eggs,1,2025-08-05
T45,Bread,1,2025-08-05
T45,Juice,2,2025-08-05
T45,Cheese,1,2025-08-05
T46,Eggs,1,2025-10-15
T46,Diaper,1,2025-10-15
T46,Cola,1,2025-10-15
T46,Juice,3,2025-10-15
T46,Cheese,1,2025-10-15
T46,Beer,3,2025-10-15
T47,Cheese,3,2025-10-26
T48,Butter,2,2025-01-22
T48,Diaper,2,2025-01-22
T49,Cheese,3,2025-04-18
T50,Milk,2,2025-10-14
T50,Cheese,3,2025-10-14
T51,Diaper,1,2025-01-13
T51,Beer,3,2025-01-13
T51,Juice,2,2025-01-13
T51,Butter,2,2025-01-13
T51,Milk,3,2025-01-13
T51,Chips,3,2025-01-13
T52,Eggs,1,2025-12-26
T52,Diaper,2,2025-12-26
T53,Cola,1,2025-04-24
T54,Cheese,3,2025-01-13
T54,Eggs,1,2025-01-13
T54,Beer,2,2025-01-13
T54,Milk,2,2025-01-13
T55,Milk,3,2025-11-25
T55,Eggs,2,2025-11-25
T55,Cheese,3,2025-11-25
T56,Cheese,2,2025-10-25
T56,Bread,1,2025-10-25
T56,Milk,1,2025-10-25
T56,Diaper,3,2025-10-25
T56,Cola,2,2025-10-25
T57,Cheese,3,2025-07-17
T57,Butter,1,2025-07-17
T57,Milk,2,2025-07-17
T58,Butter,3,2025-01-01
T59,Beer,3,2025-06-19
T59,Cheese,2,2025-06-19
T59,Butter,3,2025-06-19
T59,Bread,1,2025-06-19
T59,Chips,3,2025-06-19
T60,Chips,2,2025-06-17
T60,Eggs,3,2025-06-17
T60,Butter,2,2025-06-17
T61,Diaper,3,2025-12-13
T61,Beer,1,2025-12-13
T61,Butter,3,2025-12-13
T61,Cheese,3,2025-12-13
T61,Chips,2,2025-12-13
T62,Chips,2,2025-04-18
T62,Bread,3,2025-04-18
T62,Eggs,3,2025-04-18
T62,Diaper,3,2025-04-18
T63,Cola,1,2025-12-12
T63,Juice,3,2025-12-12
T63,Chips,2,2025-12-12
T64,Diaper,1,2025-06-21
T64,Milk,1,2025-06-21
T64,Eggs,3,2025-06-21
T64,Cola,2,2025-06-21
T64,Cheese,1,2025-06-21
T64,Butter,1,2025-06-21
T65,Bread,2,2025-05-06
T65,Juice,3,2025-05-06
T66,Cola,3,2025-08-01
T67,Beer,3,2025-03-17
T67,Butter,3,2025-03-17
T67,Cola,1,2025-03-17
T67,Juice,1,2025-03-17
T67,Milk,2,2025-03-17
T68,Diaper,1,2025-08-26
T68,Chips,3,2025-08-26
T69,Milk,2,2025-03-10
T69,Cola,3,2025-03-10
T70,Chips,2,2025-09-16
T70,Cheese,3,2025-09-16
T70,Cola,2,2025-09-16
T70,Eggs,1,2025-09-16
T70,Juice,3,2025-09-16
T71,Cola,2,2025-11-23
T71,Eggs,3,2025-11-23
T71,Beer,2,2025-11-23
T71,Butter,3,2025-11-23
T72,Eggs,3,2025-02-09
T72,Cola,2,2025-02-09
T73,Eggs,3,2025-06-13
T73,Cheese,1,2025-06-13
T74,Diaper,3,2025-07-16
T74,Beer,1,2025-07-16
T75,Beer,2,2025-08-27
T75,Milk,1,2025-08-27
T75,Butter,1,2025-08-27
T75,Juice,2,2025-08-27
T75,Diaper,2,2025-08-27
T75,Eggs,3,2025-08-27
T76,Bread,2,2025-07-19
T76,Butter,3,2025-07-19
T76,Cola,3,2025-07-19
T76,Juice,3,2025-07-19
T76,Diaper,3,2025-07-19
T76,Cheese,3,2025-07-19
T77,Cola,2,2025-05-20
T77,Beer,2,2025-05-20
T78,Butter,3,2025-06-22
T79,Butter,2,2025-01-14
T79,Diaper,3,2025-01-14
T79,Cola,3,2025-01-14
T79,Milk,3,2025-01-14
T79,Eggs,1,2025-01-14
T79,Cheese,1,2025-01-14
T80,Butter,2,2025-07-14
T80,Diaper,1,2025-07-14
T80,Cola,2,2025-07-14
T80,Milk,2,2025-07-14
T80,Bread,2,2025-07-14
T80,Chips,2,2025-07-14
T81,Butter,1,2025-08-29
T81,Eggs,3,2025-08-29
T81,Milk,3,2025-08-29
T82,Cheese,3,2025-04-25
T83,Bread,1,2025-01-16
T84,Bread,1,2025-05-03
T84,Diaper,2,2025-05-03
T85,Milk,3,2025-03-27
T85,Beer,3,2025-03-27
T85,Cola,3,2025-03-27
T85,Cheese,3,2025-03-27
T85,Diaper,1,2025-03-27
T85,Butter,1,2025-03-27
T86,Milk,3,2025-10-22
T86,Bread,2,2025-10-22
T86,Eggs,2,2025-10-22
T87,Beer,3,2025-12-17
T87,Milk,1,2025-12-17
T87,Juice,3,2025-12-17
T87,Bread,1,2025-12-17
T87,Cheese,2,2025-12-17
T87,Diaper,3,2025-12-17
T88,Cheese,2,2025-08-04
T88,Milk,1,2025-08-04
T88,Juice,2,2025-08-04
T88,Bread,2,2025-08-04
T89,Cola,2,2025-11-30
T89,Diaper,3,2025-11-30
T89,Butter,3,2025-11-30
T89,Milk,2,2025-11-30
T89,Cheese,2,2025-11-30
T89,Eggs,2,2025-11-30
T90,Juice,2,2025-05-23
T90,Eggs,1,2025-05-23
T90,Cheese,2,2025-05-23
T90,Butter,3,2025-05-23
T90,Milk,3,2025-05-23
T90,Bread,3,2025-05-23
T91,Cheese,1,2025-06-16
T91,Bread,2,2025-06-16
T91,Cola,1,2025-06-16
T91,Butter,2,2025-06-16
T92,Cheese,1,2025-10-12
T92,Eggs,3,2025-10-12
T92,Chips,1,2025-10-12
T93,Beer,2,2025-07-28
T94,Beer,2,2025-02-17
T94,Cola,1,2025-02-17
T94,Chips,2,2025-02-17
T94,Juice,3,2025-02-17
T94,Bread,1,2025-02-17
T95,Juice,3,2025-10-11
T95,Cheese,2,2025-10-11
T95,Cola,2,2025-10-11
T96,Chips,2,2025-06-06
T96,Cheese,1,2025-06-06
T96,Juice,1,2025-06-06
T96,Cola,3,2025-06-06
T96,Beer,1,2025-06-06
T96,Diaper,2,2025-06-06
T97,Chips,1,2025-12-20
T98,Beer,3,2025-05-22
T98,Cola,3,2025-05-22
T99,Juice,1,2025-06-01
T99,Eggs,2,2025-06-01
T99,Milk,1,2025-06-01
T99,Butter,2,2025-06-01
T99,Cola,1,2025-06-01
T100,Chips,3,2025-05-30
T100,Diaper,1,2025-05-30
T100,Eggs,3,2025-05-30
T100,Bread,2,2025-05-30
T100,Butter,1,2025-05-30
T100,Cola,1,2025-05-30
T101,Eggs,1,2025-04-05
T101,Cola,2,2025-04-05
T101,Chips,2,2025-04-05
T101,Beer,1,2025-04-05
T101,Diaper,1,2025-04-05
T102,Cola,3,2025-03-18
T102,Milk,2,2025-03-18
T102,Bread,1,2025-03-18
T102,Chips,1,2025-03-18
T103,Chips,3,2025-08-02
T104,Juice,3,2025-06-02
T104,Beer,2,2025-06-02
T104,Butter,2,2025-06-02
T104,Chips,3,2025-06-02
T104,Cola,3,2025-06-02
T105,Juice,1,2025-02-20
T106,Beer,1,2025-10-10
T106,Eggs,1,2025-10-10
T106,Milk,1,2025-10-10
T106,Cola,2,2025-10-10
T106,Butter,2,2025-10-10
T106,Cheese,3,2025-10-10
T107,Cola,2,2025-12-28
T107,Eggs,3,2025-12-28
T107,Bread,2,2025-12-28
T107,Milk,1,2025-12-28
T107,Diaper,3,2025-12-28
T108,Eggs,1,2025-08-06
T108,Beer,3,2025-08-06
T109,Diaper,1,2025-03-14
T109,Eggs,1,2025-03-14
T110,Eggs,1,2025-08-13
T110,Juice,2,2025-08-13
T111,Eggs,1,2025-08-13
T111,Butter,3,2025-08-13
T111,Juice,1,2025-08-13
T111,Cola,2,2025-08-13
T111,Chips,3,2025-08-13
T111,Beer,2,2025-08-13
T112,Eggs,3,2025-10-22
T112,Bread,1,2025-10-22
T112,Milk,3,2025-10-22
T112,Cola,2,2025-10-22
T112,Cheese,3,2025-10-22
T113,Diaper,3,2025-08-29
T114,Cola,2,2025-02-16
T114,Eggs,2,2025-02-16
T114,Diaper,2,2025-02-16
T114,Chips,2,2025-02-16
T114,Beer,2,2025-02-16
T114,Cheese,3,2025-02-16
T115,Diaper,2,2025-06-18
T116,Cola,1,2025-08-21
T116,Eggs,2,2025-08-21
T116,Butter,2,2025-08-21
T116,Juice,2,2025-08-21
T116,Chips,1,2025-08-21
T116,Bread,2,2025-08-21
T117,Bread,3,2025-04-07
T117,Chips,2,2025-04-07
T117,Cola,3,2025-04-07
T117,Beer,2,2025-04-07
T117,Juice,3,2025-04-07
T118,Bread,2,2025-03-09
T118,Beer,2,2025-03-09
T118,Eggs,3,2025-03-09
T118,Cola,2,2025-03-09
T119,Bread,3,2025-11-19
T120,Diaper,1,2025-10-10
T120,Eggs,3,2025-10-10
T121,Milk,3,2025-03-02
T121,Beer,1,2025-03-02
T121,Juice,2,2025-03-02
T121,Chips,3,2025-03-02
T122,Chips,2,2025-09-05
T122,Eggs,1,2025-09-05
T122,Butter,2,2025-09-05
T123,Diaper,1,2025-03-11
T123,Butter,2,2025-03-11
T123,Beer,2,2025-03-11
T123,Eggs,2,2025-03-11
T123,Chips,3,2025-03-11
T124,Bread,3,2025-10-28
T124,Eggs,3,2025-10-28
T124,Chips,2,2025-10-28
T125,Cola,2,2025-09-05
T125,Chips,2,2025-09-05
